operated_at,geohash,avg_lightlux,latitude,longitude,si,gungu,dong,weight
2024-06-04 04:00:00,wy7vrm10,41.0,36.107,129.344,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-01 21:00:00,wy7vrm1u,39.0,36.107,129.345,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-19 20:00:00,wy7vrm29,40.666666666666664,36.108,129.343,경상북도,포항시 북구,흥해읍,0.002637016846992083
2024-06-04 20:00:00,wy7vrmnm,39.0,36.108,129.351,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-01 01:00:00,wy7vrtec,41.0,36.11,129.358,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-04 04:00:00,wy7vrjzs,39.34375,36.111,129.342,경상북도,포항시 북구,흥해읍,0.002549070119164354
2024-06-01 01:00:00,wy7vrmfm,40.0,36.112,129.345,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-04 04:00:00,wy7vrnrv,40.0,36.114,129.342,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-04 04:00:00,wy7vrq2n,40.0,36.115,129.342,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-17 05:00:00,wy7vqq9s,40.0,36.116,129.3,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-04 04:00:00,wy7vrq8t,41.0,36.116,129.343,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-27 05:00:00,wy7vqqbp,39.75,36.117,129.298,경상북도,포항시 북구,신광면,0.0025760773820405858
2024-06-22 05:00:00,wy7vqr00,39.75,36.118,129.298,경상북도,포항시 북구,신광면,0.0025760773820405858
2024-06-12 04:00:00,wy7vmr77,39.5,36.12,129.259,경상북도,포항시 북구,신광면,0.0025594575279629045
2024-06-26 03:00:00,wy7vqpye,41.0,36.122,129.296,경상북도,포항시 북구,신광면,0.0026591766524289915
2024-06-12 04:00:00,wy7vt2pn,40.0,36.124,129.264,경상북도,포항시 북구,신광면,0.002592697236118267
